timestamp,Starboard Thermal Radiator Rotating Joint (TRRJ) Position [°],Loop A (Stbd) Pump Flowrate [kg/hr],Loop A (Stbd) PM Out Press [kPa],Loop A (Stbd) PM Out Temp [°C]
1751606400,24.7998,3385.11353,1938.93799,3.7017
1751606460,24.7998,3385.11353,1938.93799,3.63913
1751606520,24.7998,3371.6665,1936.82544,3.57656
1751606580,24.7998,3371.6665,1936.82544,3.51399
1751606640,24.7998,3371.6665,1936.82544,3.51399
1751606700,24.78881,3371.6665,1934.71289,3.63913
1751606760,24.79431,3385.11353,1934.71289,3.57656
1751606820,24.78881,3358.21924,1932.60034,3.57656
1751606880,24.7998,3358.21924,1932.60034,3.63913
1751606940,24.7998,3358.21924,1932.60034,3.57656
1751607000,24.7998,3358.21924,1932.60034,3.57656
1751607060,24.7998,3358.21924,1932.60034,3.57656
1751607120,24.7998,3358.21924,1932.60034,3.57656
1751607180,24.7998,3358.21924,1932.60034,3.57656
1751607240,24.7998,3358.21924,1932.60034,3.57656
1751607300,24.7998,3358.21924,1932.60034,3.57656
1751607360,24.7998,3358.21924,1932.60034,3.57656
1751607420,24.7998,3358.21924,1932.60034,3.57656
1751607480,24.7998,3358.21924,1932.60034,3.57656
1751607540,24.7998,3358.21924,1932.60034,3.57656
1751607600,24.7998,3358.21924,1932.60034,3.57656
1751607660,24.7998,3358.21924,1932.60034,3.57656
1751607720,24.7998,3358.21924,1932.60034,3.57656
1751607780,24.7998,3358.21924,1932.60034,3.57656
1751607840,24.7998,3358.21924,1924.15015,3.57656
1751607900,24.7998,3371.6665,1924.15015,3.51399
1751607960,24.7998,3371.6665,1926.2627,3.57656
1751608020,24.7998,3371.6665,1926.2627,3.63913
1751608080,24.7998,3371.6665,1926.2627,3.63913
1751608140,24.7998,3385.11353,1926.2627,3.63913
1751608200,24.79431,3358.21924,1928.37524,3.63913
1751608260,24.79431,3371.6665,1928.37524,3.63913
1751608320,24.7998,3371.6665,1930.48779,3.63913
1751608380,24.7998,3385.11353,1930.48779,3.63913
1751608440,24.7998,3371.6665,1932.60034,3.63913
1751608500,24.7998,3371.6665,1932.60034,3.7017
1751608560,24.79431,3358.21924,1934.71289,3.7017
1751608620,24.7998,3371.6665,1934.71289,3.76427
1751608680,24.7998,3371.6665,1934.71289,3.82685
1751608740,24.7998,3371.6665,1934.71289,3.88942
1751608800,24.7998,3371.6665,1936.82544,3.95199
1751608860,24.78881,3358.21924,1938.93799,4.07714
1751608920,24.79431,3371.6665,1938.93799,3.95199
1751608980,24.7998,3385.11353,1938.93799,3.95199
1751609040,24.78881,3371.6665,1941.05066,3.95199
1751609100,24.78881,3371.6665,1941.05066,4.01456
1751609160,24.79431,3358.21924,1941.05066,3.95199
1751609220,24.7998,3371.6665,1941.05066,4.01456
1751609280,24.7998,3371.6665,1943.16321,4.01456
1751609340,24.7998,3358.21924,1943.16321,3.88942
1751609400,24.7998,3371.6665,1943.16321,3.88942
1751609460,24.79431,3358.21924,1945.27576,3.88942
1751609520,24.7998,3385.11353,1945.27576,3.95199
1751609580,24.7998,3385.11353,1945.27576,3.95199
1751609640,24.78881,3385.11353,1945.27576,4.01456
1751609700,24.7998,3385.11353,1945.27576,4.07714
1751609760,24.7998,3371.6665,1945.27576,3.95199
1751609820,24.7998,3385.11353,1943.16321,3.95199
1751609880,24.7998,3371.6665,1945.27576,3.95199
1751609940,24.7998,3371.6665,1943.16321,3.95199
1751610000,24.78881,3371.6665,1943.16321,3.95199
1751610060,24.78881,3358.21924,1943.16321,3.95199
1751610120,24.7998,3358.21924,1943.16321,3.95199
1751610180,24.79431,3358.21924,1943.16321,3.95199
1751610240,24.78881,3371.6665,1943.16321,3.88942
1751610300,24.7998,3371.6665,1943.16321,3.88942
1751610360,24.7998,3371.6665,1943.16321,3.88942
1751610420,24.7998,3371.6665,1943.16321,3.88942
1751610480,24.79431,3371.6665,1943.16321,3.95199
1751610540,24.79431,3371.6665,1945.27576,3.95199
1751610600,24.7998,3385.11353,1945.27576,3.95199
1751610660,24.79431,3371.6665,1945.27576,4.01456
1751610720,24.78881,3385.11353,1945.27576,3.95199
1751610780,24.7998,3371.6665,1945.27576,3.95199
1751610840,24.78881,3358.21924,1947.38831,3.95199
1751610900,24.7998,3385.11353,1945.27576,3.95199
1751610960,24.79431,3371.6665,1947.38831,4.01456
1751611020,24.78881,3371.6665,1947.38831,4.01456
1751611080,24.7998,3385.11353,1945.27576,3.95199
1751611140,24.79431,3371.6665,1947.38831,3.95199
1751611200,24.78881,3358.21924,1947.38831,3.95199
1751611260,24.7998,3371.6665,1947.38831,3.95199
1751611320,24.7998,3358.21924,1945.27576,3.95199
1751611380,24.7998,3385.11353,1947.38831,3.95199
1751611440,24.78881,3371.6665,1945.27576,3.95199
1751611500,24.7998,3371.6665,1945.27576,3.95199
1751611560,24.7998,3385.11353,1945.27576,3.95199
1751611620,24.7998,3371.6665,1945.27576,3.95199
1751611680,24.7998,3385.11353,1943.16321,3.95199
1751611740,24.7998,3385.11353,1943.16321,3.88942
1751611800,24.78881,3371.6665,1943.16321,3.82685
1751611860,24.78881,3371.6665,1941.05066,3.76427
1751611920,24.7998,3371.6665,1938.93799,3.7017
1751611980,24.7998,3385.11353,1938.93799,3.63913
1751612040,24.78881,3399.14526,1936.82544,3.51399
1751612100,24.7998,3385.11353,1936.82544,3.57656
1751612160,24.78881,3385.11353,1934.71289,3.57656
1751612220,24.7998,3371.6665,1934.71289,3.57656
1751612280,24.7998,3385.11353,1934.71289,3.57656
1751612340,24.7998,3385.11353,1932.60034,3.57656
1751612400,24.78881,3371.6665,1932.60034,3.57656
1751612460,24.7998,3358.21924,1930.48779,3.63913
1751612520,24.78881,3358.21924,1930.48779,3.57656
1751612580,24.78881,3385.11353,1928.37524,3.63913
1751612640,24.7998,3385.11353,1928.37524,3.57656
1751612700,24.7998,3385.11353,1928.37524,3.63913
1751612760,24.79431,3371.6665,1926.2627,3.63913
1751612820,24.78881,3371.6665,1926.2627,3.63913
1751612880,24.79431,3371.6665,1924.15015,3.57656
1751612940,24.79431,3371.6665,1924.15015,3.57656
1751613000,24.7998,3371.6665,1924.15015,3.63913
1751613060,24.78881,3371.6665,1922.0376,3.57656
1751613120,24.7998,3371.6665,1922.0376,3.57656
1751613180,24.7998,3358.21924,1922.0376,3.63913
1751613240,24.7998,3385.11353,1922.0376,3.57656
1751613300,24.79431,3371.6665,1922.0376,3.57656
1751613360,24.7998,3371.6665,1922.0376,3.57656
1751613420,24.7998,3371.6665,1922.0376,3.57656
1751613480,24.7998,3385.11353,1922.0376,3.63913
1751613540,24.7998,3371.6665,1924.15015,3.57656
1751613600,24.7998,3371.6665,1924.15015,3.57656
1751613660,24.7998,3358.21924,1924.15015,3.63913
1751613720,24.7998,3371.6665,1924.15015,3.7017
1751613780,24.7998,3371.6665,1926.2627,3.7017
1751613840,24.7998,3371.6665,1926.2627,3.63913
1751613900,24.7998,3385.11353,1926.2627,3.63913
1751613960,24.78881,3385.11353,1928.37524,3.57656
1751614020,24.7998,3344.77222,1928.37524,3.57656
1751614080,24.7998,3371.6665,1930.48779,3.57656
1751614140,24.79431,3371.6665,1930.48779,3.63913
1751614200,24.78881,3358.21924,1932.60034,3.63913
1751614260,24.7998,3358.21924,1932.60034,3.76427
1751614320,24.79431,3371.6665,1932.60034,3.82685
1751614380,24.78881,3371.6665,1932.60034,3.88942
1751614440,24.7998,3358.21924,1934.71289,3.95199
1751614500,24.7998,3371.6665,1934.71289,4.01456
1751614560,24.78881,3399.14526,1936.82544,4.07714
1751614620,24.7998,3371.6665,1936.82544,3.95199
1751614680,24.78881,3385.11353,1936.82544,4.01456
1751614740,24.78881,3358.21924,1938.93799,3.88942
1751614800,24.7998,3371.6665,1938.93799,3.88942
1751614860,24.78881,3385.11353,1941.05066,3.88942
1751614920,24.7998,3385.11353,1941.05066,3.88942
1751614980,24.79431,3358.21924,1941.05066,3.95199
1751615040,24.78881,3358.21924,1941.05066,3.95199
1751615100,24.78881,3358.21924,1941.05066,3.95199
1751615160,24.78881,3371.6665,1941.05066,3.95199
1751615220,24.78881,3371.6665,1941.05066,3.95199
1751615280,24.78881,3371.6665,1941.05066,3.95199
1751615340,24.78881,3371.6665,1941.05066,3.95199
