timestamp,SSRMS SR Measured Joint Position [°],SSRMS SY Measured Joint Position [°],SSRMS SP Measured Joint Position [°],SSRMS EP Measured Joint Position [°],SSRMS WP Measured Joint Position [°],SSRMS WY Measured Joint Position [°],SSRMS WR Measured Joint Position [°]
1751796720,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796780,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796840,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796900,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796960,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797020,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797080,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797140,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797200,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797260,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797320,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797380,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797440,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797500,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797560,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797620,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797680,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797740,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797800,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797860,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751797920,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
